127.0.0.1, 2023-04-01 18:04:09, GET, /admin/static/_2.24.1/images/save_icon.png, HTTP/1.1, 200, 0.003989
127.0.0.1, 2023-04-01 18:04:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.166554
127.0.0.1, 2023-04-01 18:04:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.263295
127.0.0.1, 2023-04-01 18:04:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.289227
127.0.0.1, 2023-04-01 18:04:09, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 0.446446
127.0.0.1, 2023-04-01 18:05:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114730
127.0.0.1, 2023-04-01 18:05:10, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 1.389286
127.0.0.1, 2023-04-01 18:06:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.172537
127.0.0.1, 2023-04-01 18:06:10, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 1.343403
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld, HTTP/1.1, 200, 0.305226
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006983
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.012966
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/js/jquery.js, HTTP/1.1, 200, 0.011967
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.012964
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/css/calendar.css, HTTP/1.1, 200, 0.013963
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/js/web2py.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/js/calendar.js, HTTP/1.1, 200, 0.003989
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.007979
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/images/background.jpg, HTTP/1.1, 404, 0.004986
127.0.0.1, 2023-04-01 18:06:56, GET, /helloWorld/static/images/favicon.ico, HTTP/1.1, 200, 0.004987
127.0.0.1, 2023-04-01 18:07:02, GET, /helloWorld, HTTP/1.1, 200, 0.265331
127.0.0.1, 2023-04-01 18:07:05, GET, /helloWorld, HTTP/1.1, 200, 0.330066
127.0.0.1, 2023-04-01 18:07:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.182514
127.0.0.1, 2023-04-01 18:07:11, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 1.469116
127.0.0.1, 2023-04-01 18:07:46, POST, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.019947
127.0.0.1, 2023-04-01 18:07:52, GET, /admin/default/design/helloWorld, HTTP/1.1, 200, 0.094748
127.0.0.1, 2023-04-01 18:07:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-04-01 18:08:25, GET, /helloWorld, HTTP/1.1, 200, 0.166560
127.0.0.1, 2023-04-01 18:08:25, GET, /favicon.ico, HTTP/1.1, 400, 0.004992
127.0.0.1, 2023-04-01 18:08:27, GET, /helloWorld, HTTP/1.1, 200, 0.161530
127.0.0.1, 2023-04-01 18:08:27, GET, /favicon.ico, HTTP/1.1, 400, 0.002992
127.0.0.1, 2023-04-02 00:53:33, GET, /helloWorld, HTTP/1.1, 200, 0.205450
127.0.0.1, 2023-04-02 00:53:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001993
127.0.0.1, 2023-04-02 00:53:46, GET, /helloWorld, HTTP/1.1, 200, 0.224398
127.0.0.1, 2023-04-02 01:46:58, GET, /, HTTP/1.1, 303, 0.002993
127.0.0.1, 2023-04-02 01:46:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.363028
127.0.0.1, 2023-04-02 01:46:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.006980
127.0.0.1, 2023-04-02 01:47:01, GET, /admin/default/index, HTTP/1.1, 200, 0.035944
127.0.0.1, 2023-04-02 01:47:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-04-02 01:47:03, POST, /admin/default/index, HTTP/1.1, 303, 0.028877
127.0.0.1, 2023-04-02 01:47:03, GET, /admin/default/site, HTTP/1.1, 200, 0.037897
127.0.0.1, 2023-04-02 01:47:04, POST, /admin/default/check_version, HTTP/1.1, 200, 1.309468
127.0.0.1, 2023-04-02 01:47:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-04-02 01:47:06, GET, /helloWorld/default/index, HTTP/1.1, 200, 0.145610
127.0.0.1, 2023-04-02 01:47:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001994
